net_name,wirelen_M4,wirelen_M2,wirelen_M3,n_via_v3,n_via_v2,n_via_v1,wirelen_M5,n_via_v4,wirelen_M1,wirelen_M6,wirelen_M7,wirelen_M8,n_via_v5,n_via_v6,n_via_v7,R_gold,R_pred_analytic,ape,bias_signed,R_pred_analytic_cal,ape_cal,bias_signed_cal,q,R_v7,ape_v7
i_tv80_core_add_1284_21_n_412,0.0,1.3860000000000003,0.81,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,104.69252900000002,90.3845824,13.666635753922822,-13.666635753922822,105.7439798236888,1.0043226901976758,1.0043226901976758,Q2,103.948,0.7111577178539915
i_tv80_core_add_1284_21_n_413,0.0,4.086,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,104.49936399999999,88.965456,14.865074202748243,-14.865074202748243,104.08369585241647,0.39777098316456466,-0.39777098316456466,Q2,119.155,14.024617412982549
i_tv80_core_add_1284_21_n_414,0.0,0.54,0.45,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,89.574678,74.26898800000001,17.08707230853791,-17.08707230853791,86.88980089371732,2.9973617167596003,-2.9973617167596003,Q2,79.2167,11.563511286080205
i_tv80_core_add_1284_21_n_415,0.0,2.592,1.26,0.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,156.247717,138.6331064,11.27351550358972,-11.27351550358972,162.19155985232393,3.804115008172529,3.804115008172529,Q3,128.119,18.002641920201622
i_tv80_core_add_1284_21_n_416,0.0,0.684,0.54,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,109.628695,90.4722816,17.473904437154882,-17.473904437154882,105.8465820838211,3.449929706979445,-3.449929706979445,Q2,99.1684,9.541566649133228
i_tv80_core_add_1284_21_n_417,0.0,2.322,1.98,0.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,162.378577,143.4212432,11.674775176777176,-11.674775176777176,167.79336303299846,3.3346677456093543,3.3346677456093543,Q3,159.936,1.5042483098001282
i_tv80_core_add_1284_21_n_423,0.0,0.5760000000000001,0.54,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,90.46001000000001,75.97321360000001,16.01458633488986,-16.01458633488986,88.88363206133705,1.742624103913937,-1.742624103913937,Q2,79.0472,12.616414700816424
i_tv80_core_add_1284_21_n_424,0.0,0.6479999999999999,1.7999999999999998,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,129.92729899999998,107.1786,17.508790820010795,-17.508790820010795,125.39186900011846,3.4907444661660487,-3.4907444661660487,Q3,121.289,6.648563517048081
i_tv80_core_add_1284_21_n_425,1.17,0.6659999999999999,1.17,2.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,175.72767799999997,153.9867456,12.371945414313144,-12.371945414313144,180.15430162392278,2.519024705899095,2.519024705899095,Q3,123.575,29.678123898046373
i_tv80_core_add_1284_21_n_426,0.0,0.504,0.54,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,88.928479,75.0195016,15.640633412835049,-15.640633412835049,87.76785213728652,1.305123933035525,-1.305123933035525,Q2,78.4732,11.756952460639736
