net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
A[3],2.79736,507.020274,418.4475739999999,1.428,0.628,1.7229999999999999,2,3.0,0.0,29.71,2.0,0.0,454.05150692895523,10.447070814971935,-10.447070814971935,8.508576734861252,542.6222069289552,7.021796712009823,7.021796712009823,Q4
A[2],2.67576,439.63959,390.27239000000003,29.067,0.628,0.928,2,2.0,0.0,0.0,0.0,0.0,415.2777986889552,5.541309714860934,-5.541309714860934,6.407168257266465,464.64299868895523,5.687251389019636,5.687251389019636,Q4
A[1],2.51844,436.377161,387.009961,28.535,0.6280000000000001,1.504,2,2.0,0.0,0.0,0.0,0.0,415.6523766089552,4.74928255721541,-4.74928255721541,7.400950491027599,465.0175766089552,6.563225156725196,6.563225156725196,Q4
A[0],3.79241,651.7914709999997,510.944771,2.048,0.6280000000000001,4.095000000000001,2,5.0,0.0,33.49999999999999,4.0,0.0,545.6121293289551,16.290385252838725,-16.290385252838725,6.7849521702914375,686.4568293289551,5.3184737559960285,5.3184737559960285,Q4
do[7],2.21603,410.53258400000004,348.09688400000005,25.165000000000003,0.6280000000000001,2.6449999999999996,2,3.0,0.0,0.0,0.0,0.0,384.8078898089552,6.266175985447434,-6.266175985447434,10.546203512972317,447.24158980895527,8.941800782603707,8.941800782603707,Q4
do[6],1.70299,373.81738699999994,311.381687,22.465000000000003,0.6280000000000001,2.251,2,3.0,0.0,0.0,0.0,0.0,342.7678778089553,8.30606340711612,-8.30606340711612,10.079652118062835,405.20157780895534,8.395594185926777,8.395594185926777,Q4
do[5],1.78667,378.11286000000007,315.67716,22.465000000000003,0.6280000000000001,2.5889999999999995,2,3.0,0.0,0.0,0.0,0.0,347.2450258089553,8.163656266820645,-8.163656266820645,10.00004745638084,409.6787258089553,8.34826559693188,8.34826559693188,Q4
do[4],1.77206,437.983878,336.34267800000015,15.609,0.6280000000000001,1.032,2,2.0,9.860000000000001,0.424,2.0,2.0,370.51837715179477,15.403649366337005,-15.403649366337005,10.160976107764297,472.1575771517948,7.8025016144075465,7.8025016144075465,Q4
do[3],2.14072,381.825198,332.45799800000003,24.196,0.6280000000000001,2.267,2,2.0,0.0,0.0,0.0,0.0,366.58622244895525,3.9910869242958515,-3.9910869242958515,10.265424400755498,415.95142244895527,8.937656453190728,8.937656453190728,Q4
do[2],2.03435,416.51122900000007,341.00702900000005,23.725,0.628,3.0509999999999993,2,4.0,0.0,0.0,0.0,0.0,370.5478522089552,11.035327163063082,-11.035327163063082,8.66281944263241,446.0500522089552,7.091963229868919,7.091963229868919,Q4
